category,code,description,is_active,icon,tags,created_on,created_by
LANGUAGE,en,English,TRUE,translate,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
LANGUAGE,ar,Arabic,TRUE,translate,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
LANGUAGE,ur,Urdu,TRUE,translate,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
LANGUAGE,pa,Pashtu,TRUE,translate,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
LANGUAGE,hk,Hindko,TRUE,translate,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CURRENCY,USD,US Dollar,TRUE,currency-usd,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CURRENCY,PKR,Pakistani rupee,TRUE,currency-sign,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
COUNTRY,PK,Pakistan,TRUE,flag,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
STATE,KPK,Khyber Pakhtoonkhwa,TRUE,map-marker-radius,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
STATE,ICT,Islamabad,TRUE,map-marker-radius,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK001,Peshawar,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK002,Mardan,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK003,Abbottabad,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK004,Mansehra,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK005,Swabi,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK006,Nowshera,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK007,Charsadda,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK008,Dera Ismail Khan,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK009,Bannu,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK010,Kohat,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK011,Haripur,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK012,Swat (Mingora),TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK013,Malakand,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK014,Buner,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK015,Lakki Marwat,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK016,Tank,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK017,Torghar,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK018,Upper Dir,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK019,Lower Dir,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK020,Upper Chitral,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK021,Lower Chitral,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK022,Battagram,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK023,Khyber,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK024,Orakzai,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK025,Kurram,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK026,Mohmand,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
CITIES,KPK027,Bajaur,TRUE,city,Location,2025-01-04T17:47:19+03:00,admin@ins10.com
